pair,entry_date,exit_date,direction,entry_pos,entry_z,exit_z,n_days,trade_pnl,trade_id,dir_norm,action,reason,pnl_mult,pnl_conditioned
NU-VTEX,2023-04-21,2023-07-17,SHORT,-1.0,2.216860289326968,0.4305151278186699,87,-1.389833128573843,0,-1,BLOCK,earnings,0.0,-0.0
NU-VTEX,2023-08-17,2023-09-13,LONG,1.0,-2.2423182810432594,-0.3770541207342386,27,-0.0803019635525983,1,1,ALLOW,clear_allow,1.0,-0.0803019635525983
NU-VTEX,2024-01-31,2024-02-02,LONG,1.0,-2.0415283770781936,0.3227821911061356,2,0.3546372678217737,2,1,BLOCK,earnings,0.0,0.0
NU-VTEX,2024-02-07,2024-04-18,SHORT,-1.0,2.001562070929966,0.2083225051830769,71,-1.4654967413469664,3,-1,BLOCK,earnings,0.0,-0.0
NU-VTEX,2024-05-08,2024-07-30,SHORT,-1.0,2.9301718016312295,0.3568787799361885,83,-0.6917917144591315,4,-1,BLOCK,earnings,0.0,-0.0
NU-VTEX,2024-08-16,2024-09-26,SHORT,-1.0,2.26677176136763,0.2120274970661489,41,-0.8365122128554376,5,-1,ALLOW,clear_allow,1.0,-0.8365122128554376
NU-VTEX,2024-11-11,2024-11-15,SHORT,-1.0,2.3052710708750546,0.1394346722092008,4,0.6288074902367768,6,-1,BLOCK,earnings,0.0,0.0
NU-VTEX,2024-12-03,2025-01-23,LONG,1.0,-2.298886080782153,-0.3580866204518449,51,0.1903350316052297,7,1,ALLOW,clear_allow,1.0,0.1903350316052297
NU-VTEX,2025-08-15,2025-10-16,SHORT,-1.0,2.8581098411954455,0.4229631191112566,62,-1.9438406879045984,8,-1,ALLOW,clear_allow,1.0,-1.9438406879045984
NU-VTEX,2025-11-25,2025-12-17,SHORT,-1.0,2.682328128534633,0.304955705065238,22,0.3394725099028048,9,-1,ALLOW,clear_allow,1.0,0.3394725099028048
NU-VTEX,2026-01-05,2026-02-05,SHORT,-1.0,2.3439788911227497,0.4521259918888343,31,0.4388793672423492,10,-1,ALLOW,clear_allow,1.0,0.4388793672423492
NU-VTEX,2026-02-26,2026-04-14,LONG,1.0,-2.2524575734634857,-0.4541314458288613,47,-0.9083402650809208,11,1,BLOCK,earnings,0.0,-0.0
GLOB-NU,2023-04-25,2023-05-26,LONG,1.0,-2.9512807055603907,-0.2959182818028966,31,-0.834730275931534,12,1,BLOCK,earnings,0.0,-0.0
GLOB-NU,2023-08-28,2023-10-10,SHORT,-1.0,2.2822931711548256,0.3846417737969685,43,2.150240589881724,13,-1,ALLOW,no_evidence_allow,1.0,2.150240589881724
GLOB-NU,2024-02-16,2024-06-24,LONG,1.0,-2.7966469966244225,-0.4842791968413072,129,-83.79622648802987,14,1,BLOCK,earnings,0.0,-0.0
GLOB-NU,2024-08-01,2024-08-09,SHORT,-1.0,2.292789139036448,0.3969387297608804,8,13.747466041378669,15,-1,BLOCK,earnings,0.0,0.0
GLOB-NU,2024-09-17,2024-09-26,LONG,1.0,-2.158760751345622,-0.0803721773725278,9,6.419603169923866,16,1,ALLOW,clear_allow,1.0,6.419603169923866
GLOB-NU,2024-11-20,2025-01-21,SHORT,-1.0,2.1179739846572803,0.4439129047979164,62,-27.983928910068546,17,-1,ALLOW,clear_allow,1.0,-27.983928910068546
GLOB-NU,2025-02-21,2025-07-25,LONG,1.0,-2.007923110419537,-0.4487989209016494,154,-95.35306864456032,18,1,ALLOW,clear_allow,1.0,-95.35306864456032
GLOB-NU,2025-08-15,2025-11-13,LONG,1.0,-2.2395268637796972,-0.113535817854791,90,-56.357701942310754,19,1,ALLOW,clear_allow,1.0,-56.357701942310754
GLOB-NU,2025-11-26,2025-12-05,LONG,1.0,-2.6597832824769982,-0.2822785017697271,9,0.4126783765282091,20,1,ALLOW,clear_allow,1.0,0.4126783765282091
GLOB-NU,2026-01-05,2026-01-13,LONG,1.0,-2.5970371611679153,-0.21414489986231,8,15.682573755489807,21,1,ALLOW,clear_allow,1.0,15.682573755489807
GLOB-NU,2026-01-22,2026-04-09,LONG,1.0,-2.158846976902424,0.4784629199281224,77,34.95864693344791,22,1,ALLOW,clear_allow,1.0,34.95864693344791
GLOB-NU,2026-05-15,2026-05-29,SHORT,-1.0,2.2964458571445174,1.217412053391074,14,14.153713754526423,23,-1,DOWNSIZE,sentiment,0.5,7.076856877263212
MELI-NU,2023-05-24,2023-07-31,LONG,1.0,-2.0846249851456906,-0.4777456296817053,68,-138.3663450721211,24,1,ALLOW,clear_allow,1.0,-138.3663450721211
MELI-NU,2023-08-30,2023-09-26,SHORT,-1.0,2.292563657623329,0.4594490345910516,27,44.48549274798384,25,-1,ALLOW,clear_allow,1.0,44.48549274798384
MELI-NU,2023-11-27,2024-01-03,SHORT,-1.0,2.200430506469456,0.4877178969362152,37,66.8000909819484,26,-1,ALLOW,clear_allow,1.0,66.8000909819484
MELI-NU,2024-02-23,2024-05-02,LONG,1.0,-2.174940283124939,-0.2625886729736689,69,-221.44513257765277,27,1,ALLOW,clear_allow,1.0,-221.44513257765277
MELI-NU,2024-05-20,2024-06-05,SHORT,-1.0,2.031155878501114,0.3343901808417093,16,137.07297277468345,28,-1,ALLOW,clear_allow,1.0,137.07297277468345
MELI-NU,2024-08-02,2024-10-15,SHORT,-1.0,2.9866173691009603,0.3854722510544476,74,-34.761930095773494,29,-1,BLOCK,earnings,0.0,-0.0
MELI-NU,2024-10-29,2024-11-01,LONG,1.0,-2.0376414630271147,0.2346024992194831,3,50.015946509042294,30,1,BLOCK,earnings,0.0,0.0
MELI-NU,2024-11-07,2024-11-19,LONG,1.0,-5.129195474741839,-0.4882835312430937,12,253.51661627828275,31,1,BLOCK,earnings,0.0,0.0
MELI-NU,2025-02-20,2025-04-01,SHORT,-1.0,2.4574548625763755,0.2295116016806493,40,-64.82043405401544,32,-1,BLOCK,earnings,0.0,-0.0
MELI-NU,2025-05-08,2025-06-11,SHORT,-1.0,2.0444051920018644,0.288312319024482,34,-47.78098241486177,33,-1,BLOCK,earnings,0.0,-0.0
MELI-NU,2025-09-02,2025-10-30,LONG,1.0,-2.030181077487301,-0.311387635025742,58,-173.99935479629676,34,1,ALLOW,clear_allow,1.0,-173.99935479629676
MELI-NU,2025-11-20,2026-01-06,LONG,1.0,-2.202559752946794,-0.212089164493391,47,58.9950705377384,35,1,ALLOW,clear_allow,1.0,58.9950705377384
MELI-NU,2026-02-06,2026-04-07,LONG,1.0,-2.240509884449207,-0.3275059287687435,60,-35.62901362307963,36,1,BLOCK,earnings,0.0,-0.0
MELI-NU,2026-05-07,2026-05-11,SHORT,-1.0,2.096596312671271,-2.071519355116813,4,202.96900568214448,37,-1,BLOCK,earnings,0.0,0.0
MELI-NU,2026-05-11,2026-05-18,LONG,1.0,-2.071519355116813,-0.0765952052499235,7,134.81964700670693,38,1,BLOCK,earnings,0.0,0.0
PAGS-VTEX,2023-04-14,2023-05-26,SHORT,-1.0,2.584205009820424,0.3230303763365669,42,-1.858010988565885,39,-1,BLOCK,earnings,0.0,-0.0
PAGS-VTEX,2023-07-17,2023-08-01,LONG,1.0,-2.055050719447028,-0.4085752417903855,15,1.5392409899381136,40,1,BLOCK,earnings,0.0,0.0
PAGS-VTEX,2023-08-22,2023-09-22,LONG,1.0,-2.1362964082293305,-0.3495086558532254,31,0.6641110302614777,41,1,BLOCK,earnings,0.0,0.0
PAGS-VTEX,2023-11-08,2023-12-01,LONG,1.0,-2.93822517411723,-0.0390491948144861,23,1.5639236230599312,42,1,BLOCK,earnings,0.0,0.0
PAGS-VTEX,2024-03-04,2024-03-21,LONG,1.0,-2.124901196922126,-0.263470953175333,17,0.5291915873331918,43,1,ALLOW,clear_allow,1.0,0.5291915873331918
PAGS-VTEX,2024-05-10,2024-06-13,SHORT,-1.0,2.118262007196516,0.3112671146897016,34,1.0142868175753783,44,-1,BLOCK,earnings,0.0,0.0
PAGS-VTEX,2024-07-15,2024-08-08,SHORT,-1.0,2.002258959552594,0.0040976879454615,24,1.5434893406604864,45,-1,BLOCK,earnings,0.0,0.0
PAGS-VTEX,2024-08-23,2024-11-06,LONG,1.0,-2.034675463120045,-0.4636776479720993,75,-2.0794991156127507,46,1,ALLOW,no_evidence_allow,1.0,-2.0794991156127507
PAGS-VTEX,2025-01-22,2025-01-27,LONG,1.0,-2.210448501262846,-0.3244743309425807,5,0.165850314345459,47,1,BLOCK,earnings,0.0,0.0
PAGS-VTEX,2025-01-28,2025-02-04,LONG,1.0,-2.734218111690143,0.1036467459924401,7,0.3682819441115983,48,1,BLOCK,earnings,0.0,0.0
PAGS-VTEX,2025-02-25,2025-05-07,SHORT,-1.0,2.775502673842563,0.0619955460500444,71,-2.5935718364729943,49,-1,BLOCK,earnings,0.0,-0.0
PAGS-VTEX,2025-05-27,2025-06-24,LONG,1.0,-2.676218582186964,-0.3971518099106583,28,0.3837737005727368,50,1,ALLOW,no_evidence_allow,1.0,0.3837737005727368
PAGS-VTEX,2025-08-08,2025-10-06,SHORT,-1.0,5.345460201078466,0.4309590666645075,59,-0.626120121122526,51,-1,BLOCK,earnings,0.0,-0.0
PAGS-VTEX,2025-11-11,2026-02-27,SHORT,-1.0,2.0411778610028,0.3244431706679824,108,-2.6621956095235113,52,-1,BLOCK,earnings,0.0,-0.0
CEPU-VIST,2023-03-31,2023-04-26,LONG,1.0,-2.006213786451842,-0.4292319834688414,26,0.2401457027397472,53,1,BLOCK,earnings,0.0,0.0
CEPU-VIST,2023-05-30,2023-06-21,SHORT,-1.0,2.030107371110409,0.4628468206503328,22,0.0180832250769398,54,-1,ALLOW,no_evidence_allow,1.0,0.0180832250769398
CEPU-VIST,2023-07-10,2023-08-24,LONG,1.0,-2.009909877183534,-0.2864278077334738,45,0.032052021818403,55,1,BLOCK,earnings,0.0,0.0
CEPU-VIST,2023-09-15,2023-10-18,LONG,1.0,-2.2148464260961687,-0.4829664080735473,33,-0.5076317790229927,56,1,ALLOW,no_evidence_allow,1.0,-0.5076317790229927
CEPU-VIST,2023-11-27,2024-02-07,SHORT,-1.0,2.0629732993811296,-0.0050060961652058,72,-1.3129535980493574,57,-1,ALLOW,no_evidence_allow,1.0,-1.3129535980493574
CEPU-VIST,2024-02-26,2024-04-03,LONG,1.0,-2.0526034057697258,-0.432697325925424,37,-0.2242753399853299,58,1,BLOCK,earnings,0.0,-0.0
CEPU-VIST,2024-06-25,2024-09-04,LONG,1.0,-2.025905228142028,-0.2986749267523088,71,-0.730913008019483,59,1,BLOCK,earnings,0.0,-0.0
CEPU-VIST,2024-09-11,2024-09-24,SHORT,-1.0,2.118009396614726,0.3845591973780521,13,0.5037723396271159,60,-1,ALLOW,no_evidence_allow,1.0,0.5037723396271159
CEPU-VIST,2024-11-07,2025-01-13,SHORT,-1.0,2.2037086194378297,0.159411703733163,67,-1.4850318269703395,61,-1,BLOCK,earnings,0.0,-0.0
CEPU-VIST,2025-04-24,2025-05-09,LONG,1.0,-2.1396620790364875,0.0348756265523962,15,0.1719551957174994,62,1,BLOCK,earnings,0.0,0.0
CEPU-VIST,2025-05-20,2025-06-02,SHORT,-1.0,2.2735514161177797,0.1101048808002932,13,0.6058311516461872,63,-1,ALLOW,no_evidence_allow,1.0,0.6058311516461872
CEPU-VIST,2025-08-07,2025-08-19,SHORT,-1.0,2.0811373200346006,0.4311193807650408,12,0.7361255655247269,64,-1,BLOCK,earnings,0.0,0.0
CEPU-VIST,2025-09-18,2025-10-13,LONG,1.0,-2.0155784859750323,-0.4889372910627847,25,0.1707040840424394,65,1,ALLOW,no_evidence_allow,1.0,0.1707040840424394
CEPU-VIST,2025-10-29,2026-01-13,SHORT,-1.0,2.114814431571069,0.3450001292409683,76,-2.2201004693267112,66,-1,BLOCK,earnings,0.0,-0.0
CEPU-VIST,2026-03-03,2026-04-08,LONG,1.0,-2.2790213660369596,-0.1487621709340576,36,-0.2767513356276012,67,1,BLOCK,earnings,0.0,-0.0
CEPU-VIST,2026-04-29,2026-05-27,LONG,1.0,-2.098508761851391,-0.4934033154556875,28,0.1076496438877052,68,1,BLOCK,earnings,0.0,0.0
NU-XP,2023-05-23,2023-05-26,SHORT,-1.0,2.0426409897274596,0.0250410524157882,3,0.19709810491339,69,-1,ALLOW,no_evidence_allow,1.0,0.19709810491339
NU-XP,2023-06-21,2023-06-28,LONG,1.0,-2.674978860208873,-0.221735260664195,7,0.560741028585379,70,1,ALLOW,no_evidence_allow,1.0,0.560741028585379
NU-XP,2023-07-20,2023-08-15,LONG,1.0,-2.743741482181311,-0.4001507711841449,26,0.1685792582698432,71,1,BLOCK,earnings,0.0,0.0
NU-XP,2023-08-23,2023-09-22,LONG,1.0,-2.533056999594224,-0.4938073040193372,30,0.6320920008362453,72,1,ALLOW,no_evidence_allow,1.0,0.6320920008362453
NU-XP,2023-10-11,2023-11-15,SHORT,-1.0,2.4918644335159756,0.46649768239889,35,-0.8543719692593241,73,-1,BLOCK,earnings,0.0,-0.0
NU-XP,2024-02-09,2024-07-29,SHORT,-1.0,2.0969420076827814,0.4828063711316439,171,-4.8452863380281475,74,-1,BLOCK,earnings,0.0,-0.0
NU-XP,2024-08-19,2024-09-26,SHORT,-1.0,2.0218415845224125,0.4488879647587848,38,-1.0558588585119886,75,-1,ALLOW,clear_allow,1.0,-1.0558588585119886
NU-XP,2024-11-11,2024-11-15,SHORT,-1.0,2.5826841838396186,0.1029785536210994,4,0.4743274857667729,76,-1,BLOCK,earnings,0.0,0.0
NU-XP,2024-12-18,2025-01-21,LONG,1.0,-2.3490107163733907,-0.375586270749642,34,1.095822128408234,77,1,ALLOW,no_evidence_allow,1.0,1.095822128408234
NU-XP,2025-02-21,2025-03-14,LONG,1.0,-2.0994496332126475,-0.4159410498080243,21,0.1783374366887197,78,1,ALLOW,clear_allow,1.0,0.1783374366887197
NU-XP,2025-07-17,2025-07-31,SHORT,-1.0,2.1169082415625406,0.3902200547362746,14,0.786799536020159,79,-1,BLOCK,earnings,0.0,0.0
NU-XP,2025-08-20,2025-11-13,SHORT,-1.0,2.2510292891427715,-0.2946588130718648,85,-1.502488796135584,80,-1,ALLOW,clear_allow,1.0,-1.502488796135584
NU-XP,2025-11-25,2026-01-13,SHORT,-1.0,2.4662133701390636,0.489600714703883,49,-0.6930524286838793,81,-1,ALLOW,clear_allow,1.0,-0.6930524286838793
NU-XP,2026-02-23,2026-05-01,LONG,1.0,-3.350982108332483,-0.4980188604401857,67,-0.8602397499401848,82,1,BLOCK,earnings,0.0,-0.0
NU-XP,2026-05-15,2026-05-29,LONG,1.0,-2.511062403713743,-0.4610995470887655,14,1.024602242496487,83,1,BLOCK,earnings,0.0,0.0
ERJ-NU,2023-03-23,2023-04-27,SHORT,-1.0,2.401136627691019,0.3368899209920292,35,0.6809513151267348,84,-1,ALLOW,clear_allow,1.0,0.6809513151267348
ERJ-NU,2023-10-05,2023-11-03,LONG,1.0,-2.0803856452112077,-0.3595546395637577,29,0.5286302765749448,85,1,BLOCK,earnings,0.0,0.0
ERJ-NU,2023-11-30,2024-01-04,SHORT,-1.0,2.399287751128537,0.456808805099904,35,-0.0857569926429888,86,-1,ALLOW,clear_allow,1.0,-0.0857569926429888
ERJ-NU,2024-03-14,2024-06-14,SHORT,-1.0,2.359548394742492,0.3958431197003759,92,-5.901485409242756,87,-1,BLOCK,earnings,0.0,-0.0
ERJ-NU,2024-09-04,2024-10-09,SHORT,-1.0,2.1335048223637485,0.4626455145488737,35,0.347902100476813,88,-1,ALLOW,clear_allow,1.0,0.347902100476813
ERJ-NU,2024-11-11,2025-02-04,SHORT,-1.0,2.2507545924419077,0.4260159591434967,85,-4.8038604898467945,89,-1,BLOCK,earnings,0.0,-0.0
ERJ-NU,2025-02-05,2025-04-02,SHORT,-1.0,2.6669989529027225,0.4535275366843541,56,-3.921021464197757,90,-1,BLOCK,earnings,0.0,-0.0
ERJ-NU,2025-06-18,2025-07-16,SHORT,-1.0,2.4692093340279326,0.0449740710041395,28,1.166197490880518,91,-1,ALLOW,clear_allow,1.0,1.166197490880518
ERJ-NU,2025-07-31,2025-08-20,SHORT,-1.0,2.045891289744364,0.4316728727452126,20,2.4554558292609725,92,-1,BLOCK,earnings,0.0,0.0
ERJ-NU,2025-10-28,2025-11-21,SHORT,-1.0,2.9859128324150963,0.0003960711721874,24,4.150698177762644,93,-1,BLOCK,earnings,0.0,0.0
MELI-VTEX,2023-06-26,2023-07-31,LONG,1.0,-2.6734676385077085,-0.4450866274623626,35,35.30378749216092,94,1,ALLOW,clear_allow,1.0,35.30378749216092
MELI-VTEX,2023-09-01,2023-09-21,SHORT,-1.0,2.4689827949912764,0.4816020141508252,20,57.87969964915655,95,-1,ALLOW,clear_allow,1.0,57.87969964915655
MELI-VTEX,2023-11-24,2024-01-03,SHORT,-1.0,2.036161965793027,0.404808295493703,40,-3.722419293185368,96,-1,ALLOW,clear_allow,1.0,-3.722419293185368
MELI-VTEX,2024-02-22,2024-02-23,SHORT,-1.0,2.274403924372454,-0.4165423730641299,1,-1.0696708605849323,97,-1,BLOCK,earnings,0.0,-0.0
MELI-VTEX,2024-03-05,2024-05-02,LONG,1.0,-2.1422948166914826,-0.2103052136606568,58,-32.53412046051261,98,1,ALLOW,clear_allow,1.0,-32.53412046051261
MELI-VTEX,2024-05-17,2024-06-11,SHORT,-1.0,2.010755041301466,0.4127784522608234,25,130.15072349827057,99,-1,ALLOW,no_evidence_allow,1.0,130.15072349827057
MELI-VTEX,2024-08-02,2024-10-02,SHORT,-1.0,2.529878058254695,0.2888628114621257,61,-236.5705671574063,100,-1,BLOCK,earnings,0.0,-0.0
MELI-VTEX,2024-11-07,2024-11-22,LONG,1.0,-3.662660242500992,-0.0627691979681634,15,207.43671475766013,101,1,ALLOW,clear_allow,1.0,207.43671475766013
MELI-VTEX,2024-12-09,2025-01-16,LONG,1.0,-2.0753113031566746,-0.4735676579390442,38,-3.28787623600698,102,1,ALLOW,clear_allow,1.0,-3.28787623600698
MELI-VTEX,2025-02-14,2025-03-31,SHORT,-1.0,2.139674250825342,0.0358513140626541,45,5.859896741551097,103,-1,BLOCK,earnings,0.0,0.0
MELI-VTEX,2025-04-29,2025-06-10,SHORT,-1.0,2.120858786416796,0.4602175766056512,42,-116.74362751031263,104,-1,BLOCK,earnings,0.0,-0.0
MELI-VTEX,2025-10-01,2025-10-27,LONG,1.0,-2.6129714669646327,-0.3138785912999466,26,-25.6908486484935,105,1,BLOCK,earnings,0.0,-0.0
MELI-VTEX,2025-11-20,2025-12-04,LONG,1.0,-2.2373631087280232,-0.4191427868504714,14,204.24232477515295,106,1,ALLOW,clear_allow,1.0,204.24232477515295
MELI-VTEX,2026-01-27,2026-02-03,SHORT,-1.0,2.0867355851566005,0.4520570986053699,7,136.9790203297904,107,-1,BLOCK,earnings,0.0,0.0
MELI-VTEX,2026-02-25,2026-04-13,LONG,1.0,-2.8140280577130503,-0.3876438762413356,47,-41.29139659879223,108,1,BLOCK,earnings,0.0,-0.0
BBAR-SUPV,2023-04-13,2023-05-03,SHORT,-1.0,2.089851634871942,0.4979023156324841,20,0.0433079288131794,109,-1,ALLOW,no_evidence_allow,1.0,0.0433079288131794
BBAR-SUPV,2023-06-06,2023-07-14,SHORT,-1.0,2.0098399823718394,0.0281491256542918,38,-0.0618961198177203,110,-1,ALLOW,no_evidence_allow,1.0,-0.0618961198177203
BBAR-SUPV,2023-11-20,2023-11-22,SHORT,-1.0,2.847285693348417,-2.5670072479862083,2,0.1860131173361738,111,-1,BLOCK,earnings,0.0,0.0
BBAR-SUPV,2023-11-22,2024-01-26,LONG,1.0,-2.5670072479862083,-0.4627021883271009,65,-0.4967444385555467,112,1,BLOCK,earnings,0.0,-0.0
BBAR-SUPV,2024-03-05,2024-05-23,SHORT,-1.0,2.25730948006412,-0.2433987502023794,79,-0.7503004393163422,113,-1,BLOCK,earnings,0.0,-0.0
BBAR-SUPV,2024-06-03,2024-06-06,SHORT,-1.0,2.108357886397524,0.4071515838193415,3,0.1515013221820931,114,-1,ALLOW,no_evidence_allow,1.0,0.1515013221820931
BBAR-SUPV,2024-06-28,2024-07-09,LONG,1.0,-2.3866140189650573,0.2457056372133329,11,0.4260708462332897,115,1,ALLOW,no_evidence_allow,1.0,0.4260708462332897
BBAR-SUPV,2024-08-15,2024-08-26,SHORT,-1.0,2.5673354498938146,0.4761683706550326,11,0.2429100896303119,116,-1,BLOCK,earnings,0.0,0.0
BBAR-SUPV,2024-09-04,2024-11-27,SHORT,-1.0,3.114036936484992,0.4459542225148233,84,-1.421376817200494,117,-1,ALLOW,no_evidence_allow,1.0,-1.421376817200494
BBAR-SUPV,2024-12-18,2025-01-02,LONG,1.0,-2.30532675660267,-0.0324881105179837,15,0.900039366225807,118,1,ALLOW,no_evidence_allow,1.0,0.900039366225807
BBAR-SUPV,2025-05-13,2025-05-20,SHORT,-1.0,2.5708849209966576,0.1604642335670111,7,0.3592454909097462,119,-1,BLOCK,earnings,0.0,0.0
BBAR-SUPV,2025-05-21,2025-05-22,SHORT,-1.0,2.017538497093557,-0.475607748985249,1,-0.0192034879041822,120,-1,BLOCK,earnings,0.0,-0.0
BBAR-SUPV,2025-05-27,2025-07-01,SHORT,-1.0,2.634919073289318,0.4037988441844121,35,-0.0429668124064029,121,-1,ALLOW,no_evidence_allow,1.0,-0.0429668124064029
BBAR-SUPV,2025-08-26,2025-10-27,LONG,1.0,-2.060622221336957,-0.1383011102804522,62,-0.8897233267766957,122,1,ALLOW,clear_allow,1.0,-0.8897233267766957
BBAR-SUPV,2025-11-26,2026-02-09,SHORT,-1.0,2.5427336890593817,0.3555042821157366,75,-2.0347138972583965,123,-1,ALLOW,clear_allow,1.0,-2.0347138972583965
BBAR-SUPV,2026-05-11,2026-05-29,SHORT,-1.0,2.706289256004914,2.56359467267234,18,-1.1042616869902768,124,-1,BLOCK,earnings,0.0,-0.0
PAX-VINP,2023-05-22,2023-06-08,SHORT,-1.0,2.6409801525600556,0.2777879221183962,17,0.1730174640690691,125,-1,ALLOW,no_evidence_allow,1.0,0.1730174640690691
PAX-VINP,2023-06-16,2023-06-22,LONG,1.0,-2.176588527484866,-0.3085605769022937,6,0.5447860570539158,126,1,ALLOW,no_evidence_allow,1.0,0.5447860570539158
PAX-VINP,2023-06-26,2023-07-17,LONG,1.0,-3.2172485472008865,-0.4099491357582552,21,0.6606276575210551,127,1,ALLOW,no_evidence_allow,1.0,0.6606276575210551
PAX-VINP,2023-10-11,2023-11-10,LONG,1.0,-2.31761568534658,-0.4242547201866825,30,-0.022149050998518,128,1,BLOCK,earnings,0.0,-0.0
PAX-VINP,2023-12-14,2024-01-08,SHORT,-1.0,2.0510127203637873,0.3646395252333446,25,0.3819830156883824,129,-1,ALLOW,no_evidence_allow,1.0,0.3819830156883824
PAX-VINP,2024-04-26,2024-07-15,LONG,1.0,-2.159743167168015,-0.3969291305367481,80,-0.8209511693575298,130,1,BLOCK,earnings,0.0,-0.0
PAX-VINP,2024-08-01,2024-08-30,LONG,1.0,-2.2870024920964935,-0.2113545844980726,29,-0.0073622129150244,131,1,BLOCK,earnings,0.0,-0.0
PAX-VINP,2024-11-06,2024-12-18,SHORT,-1.0,2.452289944631912,0.4918555141454831,42,-0.4973286864829153,132,-1,BLOCK,earnings,0.0,-0.0
PAX-VINP,2025-03-28,2025-05-06,LONG,1.0,-2.0602886204861037,-0.4160505893162631,39,-0.2156220997017343,133,1,ALLOW,no_evidence_allow,1.0,-0.2156220997017343
PAX-VINP,2025-05-13,2025-07-21,SHORT,-1.0,2.0827244315377844,0.3872200085268052,69,-1.5095210201897469,134,-1,ALLOW,no_evidence_allow,1.0,-1.5095210201897469
PAX-VINP,2025-09-15,2025-09-26,SHORT,-1.0,2.358952247609696,0.2395203023951014,11,0.3983678271409654,135,-1,ALLOW,no_evidence_allow,1.0,0.3983678271409654
PAX-VINP,2026-01-05,2026-01-27,SHORT,-1.0,2.50133779715077,-0.1325553660056853,22,-0.2126996395750617,136,-1,BLOCK,earnings,0.0,-0.0
PAX-VINP,2026-05-13,2026-05-27,LONG,1.0,-2.025013356804728,-0.4019275327230076,14,0.3822620783327659,137,1,ALLOW,clear_allow,1.0,0.3822620783327659
NU-VLRS,2023-05-08,2023-08-31,SHORT,-1.0,3.0423803278757977,0.3924278523076029,115,-1.835973751585348,138,-1,BLOCK,earnings,0.0,-0.0
NU-VLRS,2023-09-28,2023-11-27,SHORT,-1.0,2.2812600859039476,0.3967615683236703,60,-0.940668050299079,139,-1,BLOCK,earnings,0.0,-0.0
NU-VLRS,2024-02-07,2024-04-15,SHORT,-1.0,2.069106297972663,0.3159874798357219,68,-1.9588423120108804,140,-1,BLOCK,earnings,0.0,-0.0
